"Stock","int_b.low","int_b.hi","end_b.low","end_b.hi"
"ablennes",0.7,1,0.01,0.4
"acanthurus",0.7,1,0.01,0.3
"aetobatus",0.7,1,0.6,0.9
"alopias",0.7,1,0.6,1
"anisotremus",0,0.2,0.1,0.4
"anoplopoma",0.5,0.8,0.01,0.4
"argopecten",0,0.2,0.01,0.3
"ariopsis",0.3,0.5,0.3,0.6
"balistes",0.1,0.3,0.1,0.3
"brotula",0.6,0.9,0.6,1
"calamus",0.7,1,0.01,0.2
"callinectes",0.7,1,0.6,1
"caranx",0.4,0.6,0.3,0.6
"carcharhinus",0.2,0.4,0.1,0.4
"caulolatilus",NA,NA,0.01,0.4
"centropomus",0.2,0.4,0.1,0.4
"cetengraulis",0,0.2,0.1,0.3
"chanos",0.2,0.4,0.1,0.4
"chione",0.2,0.4,0.1,0.4
"coryphaena",0.4,0.6,0.3,0.5
"cynoscion",0.4,0.6,0.3,0.6
"diapterus",0.1,0.3,0.1,0.3
"diplectrum",0,0.2,0.1,0.4
"dosidicus",0.3,0.5,0.01,0.1
"dosinia",0.2,0.4,0.1,0.4
"epinephelus",0,0.2,0.01,0.3
"especies",NA,NA,0.01,0.1
"etrumeus",0.6,0.9,0.01,0.3
"eucinostomus",0.2,0.4,0.1,0.3
"eugerres",0.2,0.4,0.1,0.4
"euthynnus",0.4,0.6,0.01,0.4
"farfantepenaeus",0.2,0.4,0.01,0.4
"galeocerdo",0.2,0.4,0.1,0.4
"gerres",0.2,0.4,0.1,0.4
"ginglymostoma",0.5,0.8,0.01,0.3
"haemulon",0.2,0.4,0.1,0.3
"haemulopsis",0.1,0.3,0.1,0.3
"haliotis",0,0.2,0.01,0.1
"hexaplex",NA,NA,0.01,0.4
"hoplopagrus",0.2,0.4,0.1,0.4
"hypanus",0.6,0.9,0.6,1
"hyporthodus",0.2,0.4,0.1,0.4
"istiophorus",0.2,0.4,0.1,0.4
"isurus",0.7,1,0.6,1
"katsuwonus",0.4,0.6,0.3,0.5
"lamna",0.7,1,0.01,0.2
"larimus",0.4,0.6,0.01,0.3
"litopenaeus",0.2,0.4,0.1,0.4
"lobatus",0.2,0.4,0.1,0.3
"lutjanus",0.1,0.3,0.1,0.3
"megapitaria",0,0.2,0.01,0.3
"menticirrhus",0.2,0.4,0.01,0.3
"merluccius",0.6,0.9,0.5,0.9
"mesocentrotus",0.7,1,0.01,0.1
"microlepidotus",0,0.2,0.01,0.2
"micropogonias",0.4,0.6,0.3,0.6
"mobula",0.6,0.9,0.6,0.9
"mugil",0.1,0.3,0.01,0.3
"mustelus",0.5,0.8,0.6,1
"mycteroperca",0.1,0.3,0.1,0.3
"nasolamia",0.2,0.4,0.01,0.4
"nematistius",0.7,1,0.01,0.2
"nicholsina",NA,NA,0.01,0.2
"oligoplites",0.4,0.6,0.01,0.4
"opisthonema",NA,NA,NA,NA
"orthopristis",0.1,0.3,0.1,0.4
"panopea",0.7,1,0.6,1
"panulirus",0.2,0.4,0.01,0.2
"paralabrax",0,0.2,0.01,0.4
"paranthias",0.2,0.4,0.01,0.2
"parapsettus",0.7,1,0.6,1
"penaeus",0.2,0.4,0.1,0.4
"prionace",0.2,0.4,0.1,0.4
"pseudobatos",0.5,0.8,0.01,0.4
"rimapenaeus",0,0.2,0.01,0.4
"sarda",0.4,0.6,0.3,0.5
"sardinops",NA,NA,0.01,0.2
"scomber",0.4,0.6,0.01,0.4
"scomberomorus",0.4,0.6,0.3,0.6
"scorpaena",0.5,0.8,0.01,0.1
"selene",0.4,0.6,0.01,0.4
"seriola",0.2,0.4,0.3,0.5
"sphoeroides",0.6,0.9,0.6,1
"sphyraena",0.2,0.4,0.01,0.3
"sphyrna",0.7,1,0.01,0.4
"squatina",0.5,0.8,0.6,0.9
"stereolepis",NA,NA,NA,NA
"stomolophus",0.7,1,0.6,0.9
"synodus",NA,NA,NA,NA
"thunnus",0.3,0.5,0.3,0.6
"trachinotus",0.4,0.6,0.01,0.2
"trichiurus",0.5,0.8,0.01,0.3
"turbo",NA,NA,NA,NA
"xenichthys",0.2,0.4,0.1,0.3
"xiphias",0.2,0.4,0.1,0.4
