"estimated_taxa_group","estimated_genus_name","estimated_family_name","most_likely_family"
"CAMARON","Penaeus","Penaeidae","Penaeidae"
"MACARELA","Scomber","Scombridae","Scombridae"
"SARDINA","Sardinops","Clupeidae","Clupeidae"
"SARDINA","Opisthonema","Clupeidae","Clupeidae"
"SARDINA",NA,NA,"Clupeidae"
"RAYA Y SIMILARES","Mobula","Myliobatidae","Myliobatidae"
"TIBURON","Squatina","Squatinidae","Squatinidae"
"JAIBA","NEI","Portunidae","Portunidae"
"CABRILLA","Mycteroperca","Serranidae","Serranidae"
"PULPO","NEI","Octopodidae","Octopodidae"
"CAZON","NEI","NEI","NEI"
"LENGUADO","NEI","Paralichthyidae","Paralichthyidae"
"TIBURON","Mustelus","Triakidae","Triakidae"
"CORVINA","Cynoscion","Sciaenidae","Sciaenidae"
"LANGOSTA","Panulirus","Palinuridae","Palinuridae"
"CAMARON",NA,NA,"Penaeidae"
"CALAMAR","Dosidicus","Ommastrephidae","Ommastrephidae"
"ALMEJA","Argopecten","Pectinidae","Pectinidae"
"CARACOL","NEI","Muricidae","Muricidae"
"RAYA Y SIMILARES","Pseudobatos","Rhinobatidae","Rhinobatidae"
"RAYA Y SIMILARES","Hypanus","Dasyatidae","Dasyatidae"
"BAGRE","NEI","Ictaluridae","Ictaluridae"
"CARPA","Cyprinus","Cyprinidae","Cyprinidae"
"LOBINA","Micropterus","Centrarchidae","Centrarchidae"
"MOJARRA","Oreochromis","Cichlidae","Cichlidae"
"TIBURON","NEI","NEI","NEI"
"BANDERA","NEI","Ariidae","Ariidae"
"PAMPANO","Trachinotus","Carangidae","Carangidae"
"SIERRA","Scomberomorus","Scombridae","Scombridae"
"LISA","Mugil","Mugilidae","Mugilidae"
"BANDERA","Gerres","Gerreidae","Gerreidae"
"ROBALO","Centropomus","Centropomidae","Centropomidae"
"BERRUGATA","Micropogonias","Sciaenidae","Sciaenidae"
"MERO","Hyporthodus","Serranidae","Serranidae"
"GUACHINANGO","Lutjanus","Lutjanidae","Lutjanidae"
"MOJARRA","NEI","Gerreidae","Gerreidae"
"ALMEJA",NA,NA,"Veneridae"
"TIBURON","Carcharhinus","Carcharhinidae","Carcharhinidae"
"OSTION","NEI","Ostreidae","Ostreidae"
"PARGO","Hoplopagrus","Lutjanidae","Lutjanidae"
"LENGUADO","Brotula","Ophidiidae","Ophidiidae"
"RONCO","Haemulopsis","Haemulidae","Haemulidae"
"MERO","Epinephelus","NEI","Epinephelidae"
"MOJARRA","Eucinostomus","Gerreidae","Gerreidae"
"MOJARRA","Calamus","Sparidae","Sparidae"
"BERRUGATA","Menticirrhus","Sciaenidae","Sciaenidae"
"ESMEDREGAL","Seriola","Carangidae","Carangidae"
"JUREL","NEI","Carangidae","Carangidae"
"CABRILLA","Paralabrax","Serranidae","Serranidae"
"ERIZO","NEI","Strongylocentrotidae","Strongylocentrotidae"
"CAMARON","NEI","Penaeidae","Penaeidae"
"CAMARON","Rimapenaeus","Penaeidae","Penaeidae"
"CAMARON","Sicyonia","Sicyoniidae","Sicyoniidae"
"SARDINA","Cetengraulis","family missing but genus available","Engraulidae"
"ATUN","Thunnus","Scombridae","Scombridae"
"BARRILETE","Katsuwonus","Scombridae","Scombridae"
"PIERNA","Caulolatilus","Malacanthidae","Malacanthidae"
"ABULON","NEI","Haliotidae","Haliotidae"
"CARACOL","Megastraea","Turbinidae","Turbinidae"
"TIBURON","Galeocerdo","Carcharhinidae","Carcharhinidae"
"ALMEJA","Megapitaria","Veneridae","Veneridae"
"BONITO","Sarda","Carangidae","Carangidae"
"SARGAZO",NA,NA,NA
"SARDINA","Etrumeus","family missing but genus available","Dussumieriidae"
"MOJARRA","Eugerres","Gerreidae","Gerreidae"
"RONCO","NEI","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae"
"ABULON","Haliotis","Haliotidae","Haliotidae"
"BAQUETA","Hyporthodus","Serranidae","Serranidae"
"CARPA","Balistes","Balistidae","Balistidae"
"ANCHOVETA",NA,"Engraulidae","Engraulidae"
"CARACOL","NEI","NEI","NEI"
"TIBURON","Ginglymostoma","Ginglymostomatidae","Ginglymostomatidae"
"RAYA Y SIMILARES","Aetobatus","Myliobatidae","Myliobatidae"
"JUREL",NA,NA,"Atherinopsidae"
"TIBURON","Lamna","Lamnidae","Lamnidae"
"ALGAS","Gelidium","family missing but genus available","Gelidiaceae"
"PEPINO DE MAR","Especies","family missing but genus available",NA
"LISA","NEI","Mugilidae","Mugilidae"
"LANGOSTINO",NA,NA,"Palaemonidae"
"CAMARON","Litopenaeus","Penaeidae","Penaeidae"
"CAMARON","Farfantepenaeus","family missing but genus available","Penaeidae"
"MOJARRA","Diapterus","Gerreidae","Gerreidae"
"ALMEJA","Dosinia","Veneridae","Veneridae"
"LANGOSTA","NEI","Palinuridae","Palinuridae"
"CALAMAR",NA,NA,"Loliginidae"
"SARDINA","NEI","Clupeidae","Clupeidae"
"ALMEJA","NEI","NEI","NEI"
"ATUN","NEI","Scombridae","Scombridae"
"RUBIA Y VILLAJAIBA","NEI","NEI","NEI"
"MERO","NEI","NEI","NEI"
"BONITO","Caranx","Carangidae","Carangidae"
"CARACOL","Megathura","Fissurellidae","Fissurellidae"
"CARACOL","Lobatus","Strombidae","Strombidae"
"BAGRE","Ariopsis","Ariidae","Ariidae"
"CARACOL","Triplofusus","family missing but genus available","Fasciolariidae"
"OSTION",NA,"Ostreidae","Ostreidae"
"RAYA Y SIMILARES","NEI","NEI","NEI"
"TIBURON","Sphyrna","Sphyrnidae","Sphyrnidae"
"PETO","Lamna","family missing but genus available","Lamnidae"
"PAMPANO","Gnathanodon","Carangidae","Carangidae"
"LANGOSTINO","Macrobrachium","Palaemonidae","Palaemonidae"
"OSTION","Crassostrea","Ostreidae","Ostreidae"
"RONCO","NEI","Haemulidae","Haemulidae"
"LEBRANCHA",NA,NA,NA
"BAGRE",NA,NA,"Ariidae"
"MERO","Epinephelus","Serranidae","Serranidae"
"MERO","NEI","Serranidae","Serranidae"
"MOJARRA","NEI","NEI","NEI"
"CARACOL","Hexaplex","Muricidae","Muricidae"
"CARACOL",NA,NA,"Turbinidae"
"GUACHINANGO","Lutjanus","NEI","Lutjanidae"
"ALGAS",NA,NA,"Gelidiaceae"
"ERIZO","Mesocentrotus","Strongylocentrotidae","Strongylocentrotidae"
"BAGRE","NEI","NEI","NEI"
"MOJARRA","NEI","Kyphosidae","Kyphosidae"
"CHARAL","NEI","NEI","NEI"
"TRUCHA","NEI","NEI","NEI"
"RONCO","NEI","NEI","NEI"
"ERIZO","Strongylocentrotus","Strongylocentrotidae","Strongylocentrotidae"
"TIBURON","Prionace","Carcharhinidae","Carcharhinidae"
"RUBIO","Haemulon","Haemulidae","Haemulidae"
"BERRUGATA","NEI","Sciaenidae","Sciaenidae"
"CAZON",NA,NA,"Carcharhinidae"
"TRUCHA",NA,NA,"Salmonidae"
"BAGRE","Ariopsis","family missing but genus available","Ariidae"
"JUREL",NA,"Carangidae","Carangidae"
"TIBURON","Alopias","Alopiidae","Alopiidae"
"RAYA Y SIMILARES","Urotrygon","Urotrygonidae","Urotrygonidae"
"CINTILLA","NEI","NEI","NEI"
"PETO",NA,NA,"Lamnidae"
"LANGOSTINO","NEI","Palaemonidae","Palaemonidae"
"PETO","Acanthocybium","family missing but genus available","Scombridae"
"PAMPANO",NA,NA,"Carangidae"
"TIBURON","Triakis","family missing but genus available","Triakidae"
"BARRILETE","Euthynnus","Scombridae","Scombridae"
"PULPO","Octopus","Octopodidae","Octopodidae"
"CAMARON","Rimapenaeus","family missing but genus available","Penaeidae"
"GUACHINANGO","Lutjanus","family missing but genus available","Lutjanidae"
"CAZON","Rhizoprionodon","Carcharhinidae","Carcharhinidae"
"CARPA","Cyprinus","family missing but genus available","Cyprinidae"
"TIBURON","Carcharhinus","family missing but genus available","Carcharhinidae"
"SARDINA","Harengula","family missing but genus available","Dorosomatidae"
"TIBURON","Negaprion","Carcharhinidae","Carcharhinidae"
"BANDERA","Bagre","family missing but genus available","Ariidae"
"CORVINA","Larimus","Sciaenidae","Sciaenidae"
"TIBURON","Isurus","Lamnidae","Lamnidae"
"RUBIO","Haemulon","family missing but genus available","Haemulidae"
"CABRILLA",NA,NA,"Serranidae"
"CINTILLA","Trichiurus","Trichiuridae","Trichiuridae"
"MOJARRA","Anisotremus","Haemulidae","Haemulidae"
"ALMEJA","Panopea","Hiatellidae","Hiatellidae"
"LISA","Polydactylus","Polynemidae","Polynemidae"
"LANGOSTINO","NEI","NEI","NEI"
"CARPA","NEI","NEI","NEI"
"MOJARRA","Petenia","Cichlidae","Cichlidae"
"RONCO","Selene","Carangidae","Carangidae"
"CARPA",NA,NA,"Cyprinidae"
"BESUGO","NEI","NEI","NEI"
"CAMARON","Xiphopenaeus","family missing but genus available","Penaeidae"
"MACARELA",NA,NA,"Scombridae"
"JUREL","Decapterus","Carangidae","Carangidae"
"RAYA Y SIMILARES","Gymnura","Gymnuridae","Gymnuridae"
"RAYA Y SIMILARES",NA,NA,"Dasyatidae"
"ALMEJA","Amiantis","family missing but genus available","Veneridae"
"TIBURON","Nasolamia","Carcharhinidae","Carcharhinidae"
"MOJARRA","Diapterus","family missing but genus available","Gerreidae"
"ROBALO","NEI","NEI","NEI"
"MOJARRA",NA,NA,"Gerreidae"
"RUBIA Y VILLAJAIBA","Ocyurus","Lutjanidae","Lutjanidae"
"TIBURON","Negaprion","family missing but genus available","Carcharhinidae"
"TIBURON","Echinorhinus","Echinorhinidae","Echinorhinidae"
"ABULON","Haliotis","family missing but genus available","Haliotidae"
"CAMARON","Metapenaeus","family missing but genus available","Penaeidae"
"MOJARRA","Calamus","family missing but genus available","Sparidae"
"CARACOL","Turbo","Turbinidae","Turbinidae"
"CORVINA","NEI","Sciaenidae","Sciaenidae"
"TIBURON","Sphyrna","family missing but genus available","Sphyrnidae"
"ROBALO","Morone","family missing but genus available","Moronidae"
"MERO",NA,NA,"Epinephelidae"
"CARACOL","Triplofusus","Fasciolariidae","Fasciolariidae"
"JAIBA","Callinectes","family missing but genus available","Portunidae"
"PARGO",NA,NA,"Lutjanidae"
NA,NA,NA,NA
"CARPA","Hypophthalmichthys","family missing but genus available","Cyprinidae"
"CARACOL","Turbinella","family missing but genus available","Turbinellidae"
"TIBURON","Ginglymostoma","family missing but genus available","Ginglymostomatidae"
"JAIBA","Callinectes","Portunidae","Portunidae"
"RAYA Y SIMILARES","Rhinobatos","family missing but genus available","Rhinobatidae"
"ALGAS","Eucheuma","family missing but genus available","Solieriaceae"
"PEPINO DE MAR",NA,NA,NA
"ALMEJA","Chione","Veneridae","Veneridae"
"RAYA Y SIMILARES","Rhinoptera","family missing but genus available","Rhinopteridae"
"BANDERA","Dentex","family missing but genus available","Sparidae"
"CARPA","Mylopharyngodon","family missing but genus available","Cyprinidae"
"LENGUADO",NA,NA,"Achiridae"
"CALAMAR","Loligo","family missing but genus available","Loliginidae"
"TIBURON","Galeorhinus","Triakidae","Triakidae"
"JUREL","Atherinopsis","Atherinopsidae","Atherinopsidae"
